,close,open,high,low
2004-04-11 23:00:00,1.2078,1.2078,1.2078,1.2078
2004-04-12 23:00:00,1.1946,1.1946,1.1946,1.1946
2004-04-13 23:00:00,1.196,1.196,1.196,1.196
2004-04-14 23:00:00,1.1984,1.1984,1.1984,1.1984
2004-04-15 23:00:00,1.1994,1.1994,1.1994,1.1994
2004-04-17 23:00:00,1.202,1.202,1.202,1.202
2004-04-18 23:00:00,1.2024,1.2024,1.2024,1.2024
2004-04-19 23:00:00,1.1867,1.1867,1.1867,1.1867
2004-04-20 23:00:00,1.1842,1.1842,1.1842,1.1842
2004-04-21 23:00:00,1.1904,1.1904,1.1904,1.1904
2004-04-22 23:00:00,1.1847,1.1847,1.1847,1.1847
2004-04-24 23:00:00,1.1823,1.1823,1.1823,1.1823
2004-04-25 23:00:00,1.1867,1.1867,1.1867,1.1867
2004-04-26 23:00:00,1.1926,1.1926,1.1926,1.1926
2004-04-27 23:00:00,1.184,1.184,1.184,1.184
2004-04-28 23:00:00,1.196,1.196,1.196,1.196
2004-04-29 23:00:00,1.1981,1.1981,1.1981,1.1981
2004-05-01 23:00:00,1.1985,1.1985,1.1985,1.1985
2004-05-02 23:00:00,1.1946,1.1946,1.1946,1.1946
2004-05-03 23:00:00,1.21,1.21,1.21,1.21
2004-05-04 23:00:00,1.2175,1.2175,1.2175,1.2175
2004-05-05 23:00:00,1.2083,1.2083,1.2083,1.2083
2004-05-06 23:00:00,1.1881,1.1881,1.1881,1.1881
2004-05-08 23:00:00,1.1878,1.1878,1.1878,1.1878
2004-05-09 23:00:00,1.185,1.185,1.185,1.185
2004-05-10 23:00:00,1.1871,1.1871,1.1871,1.1871
2004-05-11 23:00:00,1.1901,1.1901,1.1901,1.1901
2004-05-12 23:00:00,1.182,1.182,1.182,1.182
2004-05-13 23:00:00,1.1887,1.1887,1.1887,1.1887
2004-05-15 23:00:00,1.1889,1.1889,1.1889,1.1889
2004-05-16 23:00:00,1.2027,1.2027,1.2027,1.2027
2004-05-17 23:00:00,1.1951,1.1951,1.1951,1.1951
2004-05-18 23:00:00,1.2009,1.2009,1.2009,1.2009
2004-05-19 23:00:00,1.1964,1.1964,1.1964,1.1964
2004-05-20 23:00:00,1.1979,1.1979,1.1979,1.1979
2004-05-22 23:00:00,1.1988,1.1988,1.1988,1.1988
2004-05-23 23:00:00,1.2003,1.2003,1.2003,1.2003
